"","segment","from","to","text"
"446",446,00:21:40,00:21:44,"所以我在讲的是那个特别预算法 那个一定要修"
"447",447,00:21:44,00:21:50,"好 下一张 那首先讲这个中央与地方财政收支划分"
"448",448,00:21:50,00:21:54,"目标就是说强化地方财政"
"449",449,00:21:54,00:21:57,"这个是这样 等一下我们会讲"
"450",450,00:21:57,00:22:00,"他就是大部分的钱都在中央"
"451",451,00:22:00,00:22:02,"所以地方的钱都要中央来补助他"
"452",452,00:22:02,00:22:05,"所以我们会造成这个地方财政的短缺"
"453",453,00:22:05,00:22:09,"还有一点分配不均 分配不均的问题"
"454",454,00:22:09,00:22:12,"表示说我们目前这个中央与地方财政收支划分"
"455",455,00:22:12,00:22:15,"中央在分钱的时候 有很多看起来就一看就知道"
"456",456,00:22:15,00:22:19,"这很不合理的现象 但是到底要怎么解决"
"457",457,00:22:19,00:22:21,"下一张"
"458",458,00:22:21,00:22:28,"下一张"
"459",459,00:22:28,00:22:37,"不好意思 今天那个这边的器材好像有一点连接上头的问题"
"460",460,00:22:37,00:22:41,"所以我们会马上来进行处理"
"461",461,00:22:41,00:22:43,"那因为今天我们已经连接了多台的电脑"
"462",462,00:22:43,00:22:46,"但是这边的那个系统好像有一些这个"
"463",463,00:22:46,00:22:49,"无法连接的地方 所以请再稍等我们一下下"
"464",464,00:22:49,00:22:51,"马上就会把它处理完成"
"465",465,00:22:51,00:22:54,"事实上我们刚刚已经测试过很多次"
"466",466,00:22:54,00:22:56,"就是他这个"
"467",467,00:22:56,00:22:59,"连接好像有一点失灵的状况"
"468",468,00:22:59,00:23:01,"等一下我们会再换一台电脑试试看"
"469",469,00:23:01,00:23:04,"那我们是不是也可以请这边会议中心的同仁"
"470",470,00:23:04,00:23:06,"可以帮忙来解决这个问题呢"
"471",471,00:23:06,00:23:11,"好 没关系我们主席"
"472",472,00:23:11,00:23:14,"哇 这个 对"
"473",473,00:23:14,00:23:19,"因为我们今天换了很多台电脑 还是说这边现场"
"474",474,00:23:19,00:23:22,"有头部可以直接接到 还是说这边的电脑"
"475",475,00:23:22,00:23:25,"可以直接接到 还是说这边的电脑"
"476",476,00:23:25,00:23:27,"可以直接接到 还是说这边的电脑"
"477",477,00:23:27,00:23:30,"可以直接接到 还是说这边的电脑"
"478",478,00:23:30,00:23:32,"可以直接用那边的挖不行吗"
"479",479,00:23:32,00:23:38,"不要再换在那个地方"
"480",480,00:23:38,00:23:40,"他们这个地方每天在开医学会怎么会有问题"
"481",481,00:23:40,00:23:44,"还是我们请拿我的电脑过来好了"
"482",482,00:23:44,00:23:53,"不要换在地上"
"483",483,00:23:53,00:23:56,"你就拿到桌上直接试 反正都下一张用口不再空"
"484",484,00:23:56,00:23:57,"好 再过"
"485",485,00:23:57,00:23:58,"好 再过"
"486",486,00:23:59,00:24:00,"好"
"487",487,00:24:00,00:24:01,"好"
"488",488,00:24:01,00:24:02,"好"
"489",489,00:24:02,00:24:03,"好"
"490",490,00:24:03,00:24:04,"好"
"491",491,00:24:04,00:24:05,"好"
"492",492,00:24:05,00:24:06,"好"
"493",493,00:24:06,00:24:07,"好"
"494",494,00:24:07,00:24:08,"好"
"495",495,00:24:08,00:24:09,"好"
"496",496,00:24:09,00:24:10,"好"
"497",497,00:24:10,00:24:11,"好"
"498",498,00:24:11,00:24:12,"好"
"499",499,00:24:12,00:24:13,"好"
"500",500,00:24:13,00:24:14,"好"
"501",501,00:24:14,00:24:15,"好"
"502",502,00:24:16,00:24:17,"好"
"503",503,00:24:17,00:24:18,"好"
"504",504,00:24:18,00:24:19,"好"
"505",505,00:24:19,00:24:20,"好"
"506",506,00:24:21,00:24:22,"好"
"507",507,00:24:22,00:24:23,"好"
"508",508,00:24:24,00:24:25,"好"
"509",509,00:24:25,00:24:26,"好"
"510",510,00:24:26,00:24:27,"好"
"511",511,00:24:27,00:24:28,"好"
"512",512,00:24:28,00:24:29,"好"
"513",513,00:24:30,00:24:31,"好"
"514",514,00:24:31,00:24:33,"我们可以先说一下这个地方的电脑的问题"
"515",515,00:24:33,00:24:34,"我们可以先说一下这个地方的电脑的问题"
"516",516,00:24:34,00:24:35,"我们可以先说一下这个地方的电脑的问题"
"517",517,00:24:35,00:24:36,"我们可以先说一下这个地方的电脑的问题"
"518",518,00:24:36,00:24:37,"我们可以先说一下这个地方的电脑的问题"
"519",519,00:24:37,00:24:38,"我们可以先说一下这个地方的电脑的问题"
"520",520,00:24:38,00:24:39,"我们可以先说一下这个地方的电脑的问题"
"521",521,00:24:39,00:24:40,"我们可以先说一下这个地方的电脑的问题"
"522",522,00:24:40,00:24:41,"我们可以先说一下这个地方的电脑的问题"
"523",523,00:24:41,00:24:42,"我们可以先说一下这个地方的电脑的问题"
"524",524,00:24:42,00:24:43,"我们可以先说一下这个地方的电脑的问题"
"525",525,00:24:43,00:24:44,"我们可以先说一下这个地方的电脑的问题"
"526",526,00:24:44,00:24:45,"我们可以先说一下这个地方的电脑的问题"
"527",527,00:24:45,00:24:46,"我们可以先说一下这个地方的电脑的问题"
"528",528,00:24:46,00:25:01,"我们可以先说一下这个地方的电脑的问题"
"529",529,00:25:01,00:25:02,"我们可以先时事提联访"
"530",530,00:25:02,00:25:04,"我跟你讲其实他们有兴趣的是QA不是那个"
"531",531,00:25:04,00:25:08,"对啦但是我们希望用我们的政策来"
"532",532,00:25:08,00:25:10,"出现了"
"533",533,00:25:10,00:25:12,"听到时事联访他就出现了"
"534",534,00:25:12,00:25:13,"但是我们的那个"
"535",535,00:25:13,00:25:15,"他的比例好像有点问题"
"536",536,00:25:15,00:25:17,"帮我们把他调整一下好不好"
"537",537,00:25:17,00:25:19,"他的比例有点问题"
"538",538,00:25:19,00:25:21,"好"
"539",539,00:25:21,00:25:23,"那我们就请同仁们幫我们Cue了好不好"
"540",540,00:25:23,00:25:25,"避免等一下再发生这个状况"
"541",541,00:25:25,00:25:27,"时事联访要跑出来"
"542",542,00:25:27,00:25:29,"好 那我们就先回到上一张"
"543",543,00:25:29,00:25:31,"好"
"544",544,00:25:31,00:25:33,"好OK"
"545",545,00:25:33,00:25:35,"好下一张了"
"546",546,00:25:35,00:25:37,"好直接到这里来"
"547",547,00:25:37,00:25:39,"这个桶头分配款表面上看起来好像没什么问题"
"548",548,00:25:39,00:25:40,"这个桶头分配款表面上看起来好像没什么问题"
"549",549,00:25:40,00:25:42,"为什么你知道喔"
"550",550,00:25:42,00:25:44,"进来的钱除了6%是中央"
"551",551,00:25:44,00:25:46,"进去再使用"
"552",552,00:25:46,00:25:48,"另外94%"
"553",553,00:25:48,00:25:50,"都发到这个地方政府"
"554",554,00:25:50,00:25:52,"而且"
"555",555,00:25:52,00:25:54,"直辖市占61% 乡镇占8.24"
"556",556,00:25:54,00:25:56,"各县市占24"
"557",557,00:25:56,00:25:58,"各县市占24"
"558",558,00:25:58,00:26:00,"好像看起来如果按照人口分配"
"559",559,00:26:00,00:26:02,"好像没什么问题下一张"
"560",560,00:26:02,00:26:04,"当然有人说直辖市比例过高"
"561",561,00:26:04,00:26:06,"当然有人说直辖市比例过高"
"562",562,00:26:06,00:26:08,"不过就是这样本来直辖市人口就比较多"
"563",563,00:26:08,00:26:10,"所以如果"
"564",564,00:26:10,00:26:12,"我想没有理由要求说"
"565",565,00:26:12,00:26:14,"这个直辖市以外的限制"
"566",566,00:26:14,00:26:16,"分的跟他一样多这没有道理"
"567",567,00:26:16,00:26:18,"可是问题在哪里"
"568",568,00:26:18,00:26:20,"同样是直辖市下一张"
"569",569,00:26:20,00:26:22,"奇怪台北市平均每个人"
"570",570,00:26:22,00:26:24,"分到2.4万元"
"571",571,00:26:24,00:26:26,"新北市不到1.2万"
"572",572,00:26:26,00:26:28,"这表示说他虽然说直辖市"
"573",573,00:26:28,00:26:30,"65%可是在直辖市"
"574",574,00:26:30,00:26:32,"不同的直辖市分配不一样"
"575",575,00:26:32,00:26:34,"同样的情形也出现在"
"576",576,00:26:34,00:26:36,"非直辖市"
"577",577,00:26:36,00:26:38,"表面上说非直辖市大概分35%"
"578",578,00:26:38,00:26:40,"可是不同的限制"
"579",579,00:26:40,00:26:42,"分到钱如果按照人口"
"580",580,00:26:42,00:26:44,"来算差别很大"
"581",581,00:26:44,00:26:46,"所以表示说这个分配有什么地方"
"582",582,00:26:46,00:26:48,"不对劲下一张"
"583",583,00:26:48,00:26:50,"还有另外一地方"
"584",584,00:26:50,00:26:52,"是这样"
"585",585,00:26:52,00:26:54,"目前这是总平均"
"586",586,00:26:54,00:26:56,"地方政府自有"
"587",587,00:26:56,00:26:58,"裁员每个总平均不到"
"588",588,00:26:58,00:27:00,"50%你看从过去的"
"589",589,00:27:00,00:27:02,"105年到109年看起来"
"590",590,00:27:02,00:27:04,"不到50%大部分都40几"
"591",591,00:27:04,00:27:06,"这表示说地方"
"592",592,00:27:06,00:27:08,"他维持他地方财政所需要的钱"
"593",593,00:27:08,00:27:10,"超过一半以上"
"594",594,00:27:10,00:27:12,"是要靠中央"
"595",595,00:27:12,00:27:14,"补助这就为什么"
"596",596,00:27:14,00:27:16,"这就典型的投中"
"597",597,00:27:16,00:27:18,"角星的问题就说你想想看"
"598",598,00:27:18,00:27:20,"我如果做一个地方政府"
"599",599,00:27:20,00:27:22,"我超过一半的钱是要"
"600",600,00:27:22,00:27:24,"中央补助我怎么敢反抗"
"601",601,00:27:24,00:27:26,"中央一定乖乖听话"
"602",602,00:27:26,00:27:28,"所以如果这样的话我们现在看到"
"603",603,00:27:28,00:27:30,"两个现象第一财政"
"604",604,00:27:30,00:27:32,"中央集权第二"
"605",605,00:27:32,00:27:34,"地方财政窘迫"
"606",606,00:27:34,00:27:36,"怎么办下一张"
"607",607,00:27:36,00:27:40,"第一点"
"608",608,00:27:40,00:27:42,"这个"
"609",609,00:27:42,00:27:44,"我们希望说"
"610",610,00:27:44,00:27:46,"中央给地方的钱"
"611",611,00:27:46,00:27:48,"特别一算不算这边还分"
"612",612,00:27:48,00:27:50,"两部分一个是叫做"
"613",613,00:27:50,00:27:52,"一般分配一般的"
"614",614,00:27:52,00:27:54,"一般的补助款另外一个"
"615",615,00:27:54,00:27:56,"那个统筹分配"
"616",616,00:27:56,00:27:58,"税款然后有两个不同的"
"617",617,00:27:58,00:28:00,"地方再给一个是财政部一个主纪处"
"618",618,00:28:00,00:28:02,"这就很奇怪"
"619",619,00:28:02,00:28:04,"对地方政府来讲"
"620",620,00:28:04,00:28:06,"钱就是钱为什么还要分"
"621",621,00:28:06,00:28:08,"两个地方来补助"
"622",622,00:28:08,00:28:10,"所以我们是主张将来在"
"623",623,00:28:10,00:28:12,"这个"
"624",624,00:28:12,00:28:14,"下一张你再下一张"
"625",625,00:28:14,00:28:18,"也就是说将来在这个"
"626",626,00:28:18,00:28:20,"在这个中央以地方补助"
"627",627,00:28:20,00:28:22,"不要再分主纪处跟"
"628",628,00:28:22,00:28:24,"财政部两个单位各别"
"629",629,00:28:24,00:28:26,"补助能不能同仇一个单位"
"630",630,00:28:26,00:28:28,"这样会比较好计算"
"631",631,00:28:28,00:28:30,"也比较清楚减少行政上的"
"632",632,00:28:30,00:28:32,"麻烦下一张"
"633",633,00:28:32,00:28:34,"那所以"
"634",634,00:28:34,00:28:36,"我们现在想法是这样"
"635",635,00:28:36,00:28:38,"如果地方"
"636",636,00:28:38,00:28:40,"的裁员都不够超过50%"
"637",637,00:28:40,00:28:42,"中央补助是不是能够把这个"
"638",638,00:28:42,00:28:44,"地方可以拿到的钱秉坐"
"639",639,00:28:44,00:28:46,"大尽量就说我到底"
"640",640,00:28:46,00:28:48,"要拿到多少事先清楚"
"641",641,00:28:48,00:28:50,"那"
"642",642,00:28:50,00:28:52,"我们大概有几个建议"
"643",643,00:28:52,00:28:54,"比方说"
"644",644,00:28:54,00:28:56,"这个目前营业"
"645",645,00:28:56,00:28:58,"税40%的是拿来做"
"646",646,00:28:58,00:29:00,"统筹分配是不是给他提高到100%"
"647",647,00:29:00,00:29:02,"如果这样的话算一算"
"648",648,00:29:02,00:29:10,"在当40%的时候大概一年"
"649",649,00:29:10,00:29:12,"有2000亿可以拿来做"
"650",650,00:29:12,00:29:14,"分配如果改成100%"
"651",651,00:29:14,00:29:16,"就变到5200亿"
"652",652,00:29:16,00:29:18,"所以就等于多了3000亿意思就是说"
"653",653,00:29:18,00:29:20,"要放到从"
"654",654,00:29:20,00:29:22,"统筹分配房里面的钱"
"655",655,00:29:22,00:29:24,"干脆一开始就说大家分多少"
"656",656,00:29:24,00:29:26,"公示写清楚"
"657",657,00:29:26,00:29:28,"把那个秉坐大 每个人就可以分到他要的"
"658",658,00:29:28,00:29:30,"下一张"
"659",659,00:29:30,00:29:32,"那其他包括这个"
"660",660,00:29:32,00:29:34,"遗产税这也是很奇怪"
"661",661,00:29:34,00:29:36,"为什么"
"662",662,00:29:36,00:29:38,"直辖市跟非直辖市"
"663",663,00:29:38,00:29:40,"遗产税还有这个"
"664",664,00:29:40,00:29:42,"土地增值税百分比都不一样"
"665",665,00:29:42,00:29:44,"干脆全部给他拉平往上"
"666",666,00:29:44,00:29:46,"拉所以包括这个遗产税"
"667",667,00:29:46,00:29:48,"全部拉从直辖市"
"668",668,00:29:48,00:29:50,"从50%拉到80%"
"669",669,00:29:50,00:29:52,"那倒过来"
"670",670,00:29:52,00:29:54,"土地增值税县市政府本来"
"671",671,00:29:54,00:29:56,"是80%拉到100%"
"672",672,00:29:56,00:29:58,"另外一个是这样"
"673",673,00:29:58,00:30:00,"营业"
"674",674,00:30:00,00:30:02,"营利事业所得税"
"675",675,00:30:02,00:30:04,"我们还是要让一个地方首长"
"676",676,00:30:04,00:30:06,"因为目前地方首长的税"
"677",677,00:30:06,00:30:08,"所主要来自土地税跟"
"678",678,00:30:08,00:30:10,"房屋税"
"679",679,00:30:10,00:30:12,"所以说为什么造成地方政府很容易在炒作"
"680",680,00:30:12,00:30:14,"这种房地产"
"681",681,00:30:14,00:30:16,"如果啦"
"682",682,00:30:16,00:30:18,"营利事业所得税本来是"
"683",683,00:30:18,00:30:20,"地方分0%"
"684",684,00:30:20,00:30:22,"改成5%就好"
"685",685,00:30:22,00:30:24,"政府会比较在想说"
"686",686,00:30:24,00:30:26,"我是不是应该让我的地方产业"
"687",687,00:30:26,00:30:28,"繁荣一点"
"688",688,00:30:28,00:30:30,"就是说要给他一点诱因"
"689",689,00:30:30,00:30:32,"不然他完全没有诱因"
"690",690,00:30:32,00:30:34,"所以为什么目前地方政府真的"
"691",691,00:30:34,00:30:36,"发大太多力气在搞土地开发"
"692",692,00:30:36,00:30:38,"对整个产业的营运"
"693",693,00:30:38,00:30:40,"的那种繁荣"
"694",694,00:30:40,00:30:42,"比较没有兴趣"
"695",695,00:30:42,00:30:44,"所以我们主张有一些"
"696",696,00:30:44,00:30:46,"incentive就是"
"697",697,00:30:46,00:30:48,"让地方"
"698",698,00:30:48,00:30:52,"政府提出"
"699",699,00:30:52,00:30:54,"3%"
"700",700,00:30:54,00:30:56,"同样的财政"
"701",701,00:30:56,00:30:58,"我们今天"
"702",702,00:30:58,00:31:00,"对于这个"
"703",703,00:31:00,00:31:02,"有几个提议"
"704",704,00:31:02,00:31:04,"第一 我们希望还是说"
"705",705,00:31:04,00:31:06,"地方的这种财政"
"706",706,00:31:06,00:31:08,"能够"
"707",707,00:31:08,00:31:10,"我敢说百分之百自给自足"
"708",708,00:31:10,00:31:12,"至少比例要大高"
"709",709,00:31:12,00:31:14,"如果他根本不到50%"
"710",710,00:31:14,00:31:16,"全部要靠中央补助"
"711",711,00:31:16,00:31:18,"会让这个地方财政失去了一个"
"712",712,00:31:18,00:31:20,"他一个"
"713",713,00:31:20,00:31:22,"一个什么讲 一个基本的自主性"
"714",714,00:31:22,00:31:24,"第一点"
"715",715,00:31:24,00:31:26,"那另外一点是这样"
"716",716,00:31:26,00:31:28,"没有理由直辖市跟非直辖市"
"717",717,00:31:28,00:31:30,"用两套标准"
"718",718,00:31:30,00:31:32,"我就一直很难理解"
"719",719,00:31:32,00:31:34,"我们能不能用一套标准大家试用"
"720",720,00:31:34,00:31:36,"那再来就是说"
"721",721,00:31:36,00:31:38,"公平分配"
"722",722,00:31:38,00:31:40,"那主要"
"723",723,00:31:40,00:31:42,"还是他有些叫财政"
"724",724,00:31:42,00:31:44,"績效那个就不要 应该主要是"
"725",725,00:31:44,00:31:46,"人口 土地面积"
"726",726,00:31:46,00:31:48,"还有这个"
"727",727,00:31:48,00:31:50,"产那个营业"
"728",728,00:31:50,00:31:52,"那个经济的繁荣程度"
"729",729,00:31:52,00:31:54,"大概用这样来分就好"
"730",730,00:31:54,00:31:56,"下一张"
"731",731,00:31:56,00:31:58,"所以结论是 当然是这样啦"
"732",732,00:31:58,00:32:00,"这个法已经"
"733",733,00:32:00,00:32:02,"超过20年没有修了"
"734",734,00:32:02,00:32:04,"所以我们主张是这样啦"
"735",735,00:32:04,00:32:06,"还是要成立一个"
"736",736,00:32:06,00:32:08,"统合分配税款的分配委员会"
"737",737,00:32:08,00:32:10,"因为这个一定要经过一个"
"738",738,00:32:10,00:32:12,"讨论有共识 所以一定要有"
"739",739,00:32:12,00:32:14,"中央政府 地方政府 民意代表"
"740",740,00:32:14,00:32:16,"学者专家 大家来讨论"
"741",741,00:32:16,00:32:18,"这到底要怎么分"
"742",742,00:32:18,00:32:20,"要修法"
"743",743,00:32:20,00:32:22,"修法以后在执行过程当中"
"744",744,00:32:22,00:32:24,"如果有出现新的问题"
"745",745,00:32:24,00:32:26,"大家可以讨论 所以毕竟这个法"
"746",746,00:32:26,00:32:28,"已经超过20年没有修了"
"747",747,00:32:28,00:32:30,"几乎 我想你们听我讲过"
"748",748,00:32:30,00:32:32,"那个我跟林全的"
"749",749,00:32:32,00:32:34,"故事 每一个人在上台之前"
"750",750,00:32:34,00:32:36,"都说要修 上台去"
"751",751,00:32:36,00:32:38,"我们有个要修 所以这个"
"752",752,00:32:38,00:32:40,"大家都认为这是一个很重要的法令"
"753",753,00:32:40,00:32:42,"拖了20年没有修"
"754",754,00:32:42,00:32:44,"原因就是"
"755",755,00:32:44,00:32:46,"权力使人腐化 绝对权力使人"
"756",756,00:32:46,00:32:48,"绝对腐化"
"757",757,00:32:48,00:32:50,"因为他还没执政的时候 他都指责"
"758",758,00:32:50,00:32:52,"分配不公平 等到有一天他执政"
"759",759,00:32:52,00:32:54,"发现他是自己在分钱 他就不想公平了"
"760",760,00:32:54,00:32:56,"下一张"
"761",761,00:32:56,00:32:58,"那另外一个问题"
"762",762,00:32:58,00:33:00,"是这个啦"
"763",763,00:33:00,00:33:02,"财政距离的问题 下一张"
"764",764,00:33:02,00:33:06,"这个是喔"
"765",765,00:33:06,00:33:08,"从2014年一直到现在"
"766",766,00:33:08,00:33:10,"税务超增的数目"
"767",767,00:33:10,00:33:12,"你想想看喔"
"768",768,00:33:12,00:33:14,"除了2020年"
"769",769,00:33:14,00:33:16,"那个可以理解"
"770",770,00:33:16,00:33:18,"因为那一年疫情"
"771",771,00:33:18,00:33:20,"所以那个预计的税"
"772",772,00:33:20,00:33:22,"短缩"
"773",773,00:33:22,00:33:24,"其他几乎每年都超收"
"774",774,00:33:24,00:33:26,"特别是到2021 22"
"775",775,00:33:26,00:33:28,"税务超收4000亿"
"776",776,00:33:28,00:33:30,"这个喔"
"777",777,00:33:30,00:33:32,"我自己在当市长的时候 我就要求说"
"778",778,00:33:32,00:33:34,"预算跟决算差太多"
"779",779,00:33:34,00:33:36,"一定要进来报告 为什么"
"780",780,00:33:36,00:33:38,"这表示你的估计完全不准"
"781",781,00:33:38,00:33:40,"你预计说要"
"782",782,00:33:40,00:33:42,"收多少税 结果到时候"
"783",783,00:33:42,00:33:44,"收出来是多了1000亿"
"784",784,00:33:44,00:33:46,"你说一年说 这特殊事件"
"785",785,00:33:46,00:33:48,"那就算了 每年都是"
"786",786,00:33:48,00:33:50,"除了那个2020年 那个反而是正常"
"787",787,00:33:50,00:33:52,"因为那个是疫情突然出现"
"788",788,00:33:52,00:33:54,"你每年税都超增"
"789",789,00:33:54,00:33:56,"特别是这两年超增4000亿"
"790",790,00:33:56,00:33:58,"我就对那个"
"791",791,00:33:58,00:34:00,"财政部长跟主级"
"792",792,00:34:00,00:34:02,"处长很有意见"
"793",793,00:34:02,00:34:04,"你们在写预算书的时候 完全估不准"
"794",794,00:34:04,00:34:06,"你说你一年估不准就算了"
"795",795,00:34:06,00:34:08,"每年都估不准 那这个才奇怪"
"796",796,00:34:08,00:34:10,"所以这变成政府在制造假象"
"797",797,00:34:10,00:34:12,"就是说"
"798",798,00:34:12,00:34:14,"他明明那个税的"
"799",799,00:34:14,00:34:16,"那个预算 预计要收多少"
"800",800,00:34:16,00:34:18,"故意把它放很低"
"801",801,00:34:18,00:34:20,"等到收回的时候"
"802",802,00:34:20,00:34:22,"我们今年这个做得很好"
"803",803,00:34:22,00:34:24,"所以这种"
"804",804,00:34:24,00:34:26,"假象"
"805",805,00:34:26,00:34:28,"假性的"
"806",806,00:34:28,00:34:30,"政治績效"
"807",807,00:34:30,00:34:32,"这是不对"
"808",808,00:34:32,00:34:34,"超增你知道 一年OK"
"809",809,00:34:34,00:34:36,"OK 原谅你"
"810",810,00:34:36,00:34:38,"太多年表示说你这个预算书乱写"
"811",811,00:34:38,00:34:40,"这个我们自己"
"812",812,00:34:40,00:34:42,"在台北市我当时的要求"
"813",813,00:34:42,00:34:44,"预决算要压到差3%"
"814",814,00:34:44,00:34:46,"那以前差1000亿"
"815",815,00:34:46,00:34:48,"就算了 到现在是一年差4000亿"
"816",816,00:34:48,00:34:50,"然后"
"817",817,00:34:50,00:34:52,"超增4000亿再说"
"818",818,00:34:52,00:34:54,"这个政府有赚钱 一人花"
"819",819,00:34:54,00:34:56,"6000块 那一回事"
"820",820,00:34:56,00:34:58,"这表示说你的财政距离太差了"
"821",821,00:34:58,00:35:00,"下一张"
"822",822,00:35:00,00:35:02,"所以有时候迟迟性的超增"
"823",823,00:35:02,00:35:04,"到底是笨还是坏"
"824",824,00:35:04,00:35:06,"其实"
"825",825,00:35:06,00:35:08,"所以第一点"
"826",826,00:35:08,00:35:10,"税收预测失准"
"827",827,00:35:10,00:35:12,"财政数字管理失灵"
"828",828,00:35:12,00:35:14,"所以我从来不认为说"
"829",829,00:35:14,00:35:16,"那每年超增你知道"
"830",830,00:35:16,00:35:18,"是一个正面的"
"831",831,00:35:18,00:35:20,"这表示说你的那个计划书写得太淡"
"832",832,00:35:20,00:35:22,"估计太淡"
"833",833,00:35:22,00:35:24,"那另外一个地方"
"834",834,00:35:24,00:35:26,"下一张"
"835",835,00:35:26,00:35:28,"另外一个超增这么"
"836",836,00:35:28,00:35:30,"或者是这样"
"837",837,00:35:30,00:35:32,"如果万一超增的话"
"838",838,00:35:32,00:35:34,"我还是认为"
"839",839,00:35:34,00:35:36,"应该拿来还债"
"840",840,00:35:36,00:35:38,"既然我们的负债已经5亿5兆了"
"841",841,00:35:38,00:35:40,"你每年超增不还债"
"842",842,00:35:40,00:35:42,"债不还然后继续再超增"
"843",843,00:35:42,00:35:44,"那不是很奇怪吗"
"844",844,00:35:44,00:35:46,"所以我们主张是这样"
"845",845,00:35:46,00:35:48,"理论上还是一个最理想"
"846",846,00:35:48,00:35:50,"是预算跟决算"
"847",847,00:35:50,00:35:52,"不要差太多"
"848",848,00:35:52,00:35:54,"所以这个"
"849",849,00:35:54,00:35:56,"不要差太多"
"850",850,00:35:56,00:35:58,"如果差太多表示这个政府要嘛造假"
"851",851,00:35:58,00:36:00,"所以我就说不晓得他是笨还是坏"
"852",852,00:36:00,00:36:02,"笨就是"
"853",853,00:36:02,00:36:04,"他都估不准"
"854",854,00:36:04,00:36:06,"坏就是他明明"
"855",855,00:36:06,00:36:08,"你这个预算书就造假"
"856",856,00:36:08,00:36:10,"不管是笨还是坏"
"857",857,00:36:10,00:36:12,"我们希望说能够建立一个比较准确的整体经济模型"
"858",858,00:36:12,00:36:14,"你知道"
"859",859,00:36:14,00:36:16,"然后一个比较精确的估计"
"860",860,00:36:16,00:36:18,"当然是这样如果真的超增的话"
"861",861,00:36:18,00:36:20,"我们希望是把还债还掉"
"862",862,00:36:20,00:36:22,"不要拿去乱花"
"863",863,00:36:22,00:36:24,"那"
"864",864,00:36:24,00:36:26,"再来讲"
"865",865,00:36:26,00:36:28,"特别预算"
"866",866,00:36:28,00:36:30,"特别预算我就非常有意见"
"867",867,00:36:30,00:36:32,"我们直接看你看"
"868",868,00:36:32,00:36:34,"李登辉800亿"
"869",869,00:36:34,00:36:36,"陈水扁7800亿"
"870",870,00:36:36,00:36:38,"马英九8200亿"
"871",871,00:36:38,00:36:40,"蔡英文"
"872",872,00:36:40,00:36:42,"2兆4000亿"
"873",873,00:36:42,00:36:44,"这个差不多是"
"874",874,00:36:44,00:36:46,"都是阿扁跟"
"875",875,00:36:46,00:36:48,"马英九的3倍以上"
"876",876,00:36:48,00:36:50,"所以表示说在蔡英文的"
"877",877,00:36:50,00:36:52,"任内"
"878",878,00:36:52,00:36:54,"特别预算暴增"
"879",879,00:36:54,00:36:56,"那这问题出在哪里"
"880",880,00:36:56,00:36:58,"下一张"
"881",881,00:36:58,00:37:00,"这个"
"882",882,00:37:00,00:37:02,"预算法第83条"
"883",883,00:37:02,00:37:04,"有4个条款"
"884",884,00:37:04,00:37:06,"说可以编特别预算"
"885",885,00:37:06,00:37:08,"其中的第4款"
"886",886,00:37:08,00:37:10,"等于是空白预算"
"887",887,00:37:10,00:37:12,"今天如果是发生战争"
"888",888,00:37:12,00:37:14,"瘟疫"
"889",889,00:37:14,00:37:16,"或者是那个地震"
"890",890,00:37:16,00:37:18,"像九一大地震"
"891",891,00:37:18,00:37:20,"大家没法讲"
"892",892,00:37:20,00:37:22,"可是他不应当"
"893",893,00:37:22,00:37:24,"有一条空白授权"
"894",894,00:37:24,00:37:26,"下一张"
"895",895,00:37:26,00:37:28,"哪一张空白授权"
"896",896,00:37:28,00:37:30,"上一张"
"897",897,00:37:30,00:37:34,"再上一"
"898",898,00:37:34,00:37:36,"这一条"
"899",899,00:37:36,00:37:38,"不定期或数年"
"900",900,00:37:38,00:37:40,"一次的重大政治"
"901",901,00:37:40,00:37:42,"这等于随便他讲"
"902",902,00:37:42,00:37:44,"如果发生战争瘟疫"
"903",903,00:37:44,00:37:46,"地震天然灾害"
"904",904,00:37:46,00:37:48,"这个要编特别预算大家没法讲"
"905",905,00:37:48,00:37:50,"但是不可以有这一条"
"906",906,00:37:50,00:37:52,"不定期或数年一次"
"907",907,00:37:52,00:37:54,"的重大政治"
"908",908,00:37:54,00:37:56,"什么叫重大政治自己讲"
"909",909,00:37:56,00:37:58,"所以为什么在蔡英文任内"
"910",910,00:37:58,00:38:00,"特别预算编得特别多"
"911",911,00:38:00,00:38:02,"下一张"
"912",912,00:38:02,00:38:04,"再下一张"
"913",913,00:38:04,00:38:06,"另外这个蛮有趣的"
"914",914,00:38:06,00:38:08,"你看看税收"
"915",915,00:38:08,00:38:10,"占各国GDP的占比"
"916",916,00:38:10,00:38:12,"南韩22"
"917",917,00:38:12,00:38:14,"美国20"
"918",918,00:38:14,00:38:16,"日本19.8"
"919",919,00:38:16,00:38:18,"台湾14.2"
"920",920,00:38:18,00:38:20,"可是有个问题"
"921",921,00:38:20,00:38:22,"台湾的税率不是比日本韩国"
"922",922,00:38:22,00:38:24,"还高吗"
"923",923,00:38:24,00:38:26,"怎么税收的"
"924",924,00:38:26,00:38:28,"税率很高"
"925",925,00:38:28,00:38:30,"真的收进来的钱很少"
"926",926,00:38:30,00:38:32,"不是说很少的不够"
"927",927,00:38:32,00:38:34,"这表示什么"
"928",928,00:38:34,00:38:36,"我们一定有很厉害的逃税"
"929",929,00:38:36,00:38:38,"当然逃税到底是哪个地方"
