segment,from,to,speaker,text,,,,,,
418,0:20:38,0:20:40,記者,市長 柯文哲說國民黨兩個模式,,,,,,
419,0:20:40,0:20:42,記者,聽起來就知道誰會贏,,,,,,
420,0:20:42,0:20:44,記者,黃珊珊還說這週就要跟副手拍照,,,,,,
421,0:20:44,0:20:46,記者,是為了跟國民黨來換取更多利益嗎,,,,,,
422,0:20:46,0:20:48,記者,那柯文哲昨天他又說,,,,,,
423,0:20:48,0:20:50,記者,還有時間請請等待,,,,,,
424,0:20:50,0:20:51,記者,市長還有耐心嗎,,,,,,
425,0:20:51,0:20:52,記者,會不會覺得他一變再變,,,,,,
426,0:20:52,0:20:54,記者,那最後國民黨這邊的期間,,,,,,
427,0:20:54,0:20:55,記者,會定在什麼時候,,,,,,
428,0:20:55,0:20:59,侯友宜,國民黨以及15個縣市的所長們,,,,,,
429,0:20:59,0:21:01,侯友宜,把人民的聲音,,,,,,
430,0:21:01,0:21:05,侯友宜,我們會結合志同道合的朋友,,,,,,
431,0:21:05,0:21:07,侯友宜,一起努力往前走,,,,,,
432,0:21:07,0:21:10,記者,那柯文哲現在是志同道合的朋友,,,,,,
433,0:21:10,0:21:15,記者,柯文哲現在是志同道合的朋友,,,,,,
434,0:21:15,0:21:17,記者,然後另外是這個火車過站,,,,,,
435,0:21:17,0:21:18,記者,其實已經過滿久了,,,,,,
436,0:21:18,0:21:20,記者,還要等他,,,,,,
437,0:21:20,0:21:22,侯友宜,目前國民黨很清楚,,,,,,
438,0:21:22,0:21:25,侯友宜,我們會堅定我們自己的力量,,,,,,
439,0:21:25,0:21:28,侯友宜,結合大家的力量,,,,,,
440,0:21:28,0:21:31,侯友宜,只要大家願意團結在一起,,,,,,
441,0:21:31,0:21:32,侯友宜,志同道合,,,,,,
442,0:21:32,0:21:34,侯友宜,我們都一起真正的,,,,,,
443,0:21:34,0:21:36,侯友宜,大家好好地去思考,,,,,,
444,0:21:36,0:21:38,侯友宜,政黨輪替人民的期待的問題,,,,,,
445,0:21:38,0:21:39,侯友宜,大家一起往前走吧,,,,,,
446,0:21:39,0:21:41,記者,柯文哲昨天說過他已經跟郭台銘搭檔,,,,,,
447,0:21:41,0:21:43,記者,而且這個星期就有結果,,,,,,
448,0:21:43,0:21:44,記者,那其實昨天你已經有說,,,,,,
449,0:21:44,0:21:45,記者,他有跟你提到,,,,,,
450,0:21:45,0:21:46,記者,就是要有備案,,,,,,
451,0:21:46,0:21:47,記者,你這件事情很不錯,,,,,,
452,0:21:47,0:21:49,記者,那你好像也一直反駁這個觀點,,,,,,
453,0:21:49,0:21:50,記者,而且大家也敲碗說,,,,,,
454,0:21:50,0:21:51,記者,侯韓可以很*,,,,,,
455,0:21:51,0:21:52,記者,但他*****,,,,,,
456,0:21:52,0:21:53,記者,那有這個問題嗎,,,,,,
457,0:21:53,0:21:55,侯友宜,謝謝大家都給我提過,,,,,,
458,0:21:55,0:21:56,侯友宜,很多的寶貴意見,,,,,,
459,0:21:56,0:21:58,侯友宜,大家都關心我們,,,,,,
460,0:21:58,0:22:00,侯友宜,那謝謝大家的指導,,,,,,
461,0:22:00,0:22:01,記者,因為15位縣市長說,,,,,,
462,0:22:01,0:22:02,記者,要堅定走自己的路,,,,,,
463,0:22:02,0:22:04,記者,那我們還會提新的方案嗎,,,,,,
464,0:22:04,0:22:05,記者,會不會有沒有下次的政黨協商,,,,,,
465,0:22:05,0:22:06,記者,那您會參與嗎,,,,,,
466,0:22:06,0:22:08,記者,因為如果說像柯文哲,,,,,,
467,0:22:08,0:22:09,記者,認為全民調那麼棒的話,,,,,,
468,0:22:09,0:22:10,記者,為什麼要加入政黨之後,,,,,,
469,0:22:10,0:22:13,記者,他就認為不可以呢,,,,,,
470,0:22:13,0:22:14,侯友宜,這一部分,,,,,,
471,0:22:14,0:22:17,侯友宜,國民黨都在政黨協商當中,,,,,,
472,0:22:17,0:22:19,侯友宜,我身為參選人,,,,,,
473,0:22:19,0:22:22,侯友宜,我努力的 積極的,,,,,,
474,0:22:22,0:22:23,侯友宜,把每一個角色做好,,,,,,
475,0:22:23,0:22:25,記者,請問柯市長一邊再變,,,,,,
476,0:22:25,0:22:27,記者,好像等不下去了嗎,,,,,,
477,0:22:27,0:22:31,侯友宜,我現在是一個參選人,,,,,,
478,0:22:31,0:22:33,侯友宜,所以每一個地方,,,,,,
479,0:22:33,0:22:35,侯友宜,我去傾聽人民的聲音,,,,,,
480,0:22:35,0:22:37,侯友宜,解決人民現在面臨,,,,,,
481,0:22:37,0:22:39,侯友宜,民進黨執政做不好的地方,,,,,,
482,0:22:39,0:22:41,侯友宜,如何我當選以後,,,,,,
483,0:22:41,0:22:42,侯友宜,如何把它做改變,,,,,,
484,0:22:42,0:22:45,侯友宜,這才是我現在該扮演的角色,,,,,,
485,0:22:45,0:22:47,記者,那陳時中諷刺國民黨與民眾黨別黨,,,,,,
486,0:22:47,0:22:49,記者,如果當選就是九二共識,,,,,,
487,0:22:49,0:22:50,記者,他們就是要賣台,,,,,,
488,0:22:50,0:22:51,記者,那請問市長怎麼看,,,,,,
489,0:22:51,0:22:53,侯友宜,不要再抹紅了啦,,,,,,
490,0:22:53,0:22:56,侯友宜,其實我這一輩子為中華民國,,,,,,
491,0:22:56,0:22:57,侯友宜,為台灣人民,,,,,,
492,0:22:57,0:23:00,侯友宜,一定是盡我最大的力量,,,,,,
493,0:23:00,0:23:02,侯友宜,用我的性命顧台灣,,,,,,
494,0:23:02,0:23:03,侯友宜,用這個精神,,,,,,
495,0:23:03,0:23:06,侯友宜,讓台灣這個土地可以平安,,,,,,
496,0:23:06,0:23:08,侯友宜,這是我一輩子的改變,,,,,,
497,0:23:08,0:23:09,侯友宜,好 謝謝,,,,,,
498,0:23:09,0:23:10,侯友宜,謝謝大家,,,,,,
